Scientific Name,Root,URL,USDA Symbol
Boltonia asteroides,PrairieMoon.com,https://www.prairiemoon.com/boltonia-asteroides-false-aster,BOAS
Bouteloua curtipendula,PrairieMoon.com,https://www.prairiemoon.com/bouteloua-curtipendula-side-oats-grama-prairie-moon-nursery.html,BOCU
Brickellia eupatorioides,PrairieMoon.com,https://www.prairiemoon.com/kuhnia-eupatorioides-false-boneset-prairie-moon-nursery.html,BREU
Bromus ciliatus,PrairieMoon.com,https://www.prairiemoon.com/bromus-ciliatus-fringed-brome-prairie-moon-nursery.html,BRCI2
Bromus pubescens,PrairieMoon.com,https://www.prairiemoon.com/bromus-pubescens-hairy-wood-chess-prairie-moon-nursery.html,BRPU6
Camassia scilloides,PrairieMoon.com,https://www.prairiemoon.com/camassia-scilloides-wild-hyacinth-prairie-moon-nursery.html,CASC5
Carex annectens,PrairieMoon.com,https://www.prairiemoon.com/carex-annectens-sm-yellow-fox-sedge-prairie-moon-nursery.html,CAAN6
Carex blanda,PrairieMoon.com,https://www.prairiemoon.com/carex-blanda-common-wood-sedge-prairie-moon-nursery.html,CABL
Carex bromoides,PrairieMoon.com,https://www.prairiemoon.com/carex-bromoides.html,CABR14
Carex cephalophora,PrairieMoon.com,https://www.prairiemoon.com/carex-cephalophora-short-headed-bracted-sedge-prairie-moon-nursery.html,CACE
Carex communis,PrairieMoon.com,https://www.prairiemoon.com/carex-communis.html,CACO7
Carex comosa,PrairieMoon.com,https://www.prairiemoon.com/carex-comosa-bristly-sedge-prairie-moon-nursery.html,CACO8
Carex crinita,PrairieMoon.com,https://www.prairiemoon.com/carex-crinita-fringed-sedge-prairie-moon-nursery.html,CACR6
Carex crus-corvi,PrairieMoon.com,https://www.prairiemoon.com/carex-crus-corvi-crowfoot-fox-sedge-prairie-moon-nursery.html,CACR8
Carex eburnea,PrairieMoon.com,https://www.prairiemoon.com/carex-eburnea-ivory-sedge-prairie-moon-nursery.html,CAEB2
Carex frankii,PrairieMoon.com,https://www.prairiemoon.com/carex-frankii-bristly-cattail-sedge-prairie-moon-nursery.html,CAFR3
Carex gracilescens,PrairieMoon.com,https://www.prairiemoon.com/carex-gracilescens-slender-wood-sedge-prairie-moon-nursery.html,CAGR8
Carex gracillima,PrairieMoon.com,https://www.prairiemoon.com/carex-gracillima-purple-sheathed-graceful-sedge-prairie-moon-nursery.html,CAGR2
Carex granularis,PrairieMoon.com,https://www.prairiemoon.com/carex-granularis-pale-sedge-prairie-moon-nursery.html,CAGR3
Carex grayi,PrairieMoon.com,https://www.prairiemoon.com/carex-grayi-common-bur-sedge-prairie-moon-nursery.html,CAGR5
Carex hirsutella,PrairieMoon.com,https://www.prairiemoon.com/carex-hirsutella-hairy-green-sedge-prairie-moon-nursery.html,CAHI6
Carex intumescens,PrairieMoon.com,https://www.prairiemoon.com/carex-intumescens-shining-bur-sedge-prairie-moon-nursery.html,CAIN12
Carex leptalea,PrairieMoon.com,https://www.prairiemoon.com/carex-leptalea-slender-sedge-prairie-moon-nursery.html,CALE10
Carex lupulina,PrairieMoon.com,https://www.prairiemoon.com/carex-lupulina-common-hop-sedge-prairie-moon-nursery.html,CALU4
Carex lurida,PrairieMoon.com,https://www.prairiemoon.com/carex-lurida-sallow-sedge-prairie-moon-nursery.html,CALU5
Carex molesta,PrairieMoon.com,https://www.prairiemoon.com/carex-molesta-field-oval-sedge-prairie-moon-nursery.html,CAMO11
Carex muehlenbergii,PrairieMoon.com,https://www.prairiemoon.com/carex-muehlenbergii-sand-bracted-sedge-prairie-moon-nursery.html,CAMU4
Carex normalis,PrairieMoon.com,https://www.prairiemoon.com/carex-normalis-spreading-oval-sedge-prairie-moon-nursery.html,CANO
Carex pensylvanica,PrairieMoon.com,https://www.prairiemoon.com/carex-pensylvanica-pennsylvania-sedge-prairie-moon-nursery.html,CAPE6
Carex radiata,PrairieMoon.com,https://www.prairiemoon.com/carex-radiata-eastern-star-sedge,CARA8
Carex rosea,PrairieMoon.com,https://www.prairiemoon.com/carex-rosea-curly-styled-wood-sedge-prairie-moon-nursery.html,CARO22
Carex scoparia,PrairieMoon.com,https://www.prairiemoon.com/carex-scoparia-lance-fruited-oval-sedge-prairie-moon-nursery.html,CASC11
Carex sparganioides,PrairieMoon.com,https://www.prairiemoon.com/carex-sparganioides.html,CASP3
Carex squarrosa,PrairieMoon.com,https://www.prairiemoon.com/carex-squarrosa-narrow-leaved-cattail-sedge-prairie-moon-nursery.html,CASQ2
Carex sterilis,PrairieMoon.com,https://www.prairiemoon.com/carex-sterilis-fen-star-sedge-prairie-moon-nursery.html,CAST16
Carex stipata,PrairieMoon.com,https://www.prairiemoon.com/carex-stipata-awl-fruited-sedge,CAST5
Carex stricta,PrairieMoon.com,https://www.prairiemoon.com/carex-stricta-common-tussock-sedge-prairie-moon-nursery.html,CAST8
Carex tenera,PrairieMoon.com,https://www.prairiemoon.com/carex-tenera-narrow-leaved-oval-sedge-prairie-moon-nursery.html,CATE3
Carex tribuloides,PrairieMoon.com,https://www.prairiemoon.com/carex-tribuloides-awl-fruited-oval-sedge-prairie-moon-nursery.html,CATR7
Carex typhina,PrairieMoon.com,https://www.prairiemoon.com/carex-typhina-common-cattail-sedge-prairie-moon-nursery.html,CATY
Carex vulpinoidea,PrairieMoon.com,https://www.prairiemoon.com/carex-vulpinoidea-brown-fox-sedge-prairie-moon-nursery.html,CAVU2
Castilleja coccinea,PrairieMoon.com,https://www.prairiemoon.com/castilleja-coccinea-indian-paintbrush-prairie-moon-nursery.html,CACO17
