,Sun Exposure,Sun Exposure,index,Soil Moisture,index,Plant Type,index,Pollinators,index,Flowering Months,index,Height (feet),index,Showy
219,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Butterfly); Larval Host (Moth); Hummingbirds",1,,,,,,
220,,,,,,,Bombus; Moths; Butterflies; Larval Host (Moth); Hummingbirds,1,,,,,,
221,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth); Wind",1,,,,,,
222,,,,,,,Native Bees; Moths; Butterflies; Monarchs; Larval Host (Moth); Hummingbirds,1,,,,,,
223,,,,,,,Native Bees; Moths; Butterflies; Hummingbirds,1,,,,,,
224,,,,,,,"Native Bees; Bombus; Beetles, Wasps, Flies; Butterflies; Monarchs; Larval Host (Moth); Hummingbirds",1,,,,,,
225,,,,,,,Native Bees; Bombus; Butterflies; Monarchs,1,,,,,,
226,,,,,,,"Native Bees; Bombus; Beetles, Wasps, Flies; Butterflies; Monarchs; Hummingbirds",1,,,,,,
227,,,,,,,Bombus; Larval Host (Butterfly),1,,,,,,
228,,,,,,,"Native Bees; Bombus; Beetles, Wasps, Flies; Butterflies; Nesting and Structure (Bees); Larval Host (Moth); Hummingbirds",1,,,,,,
229,,,,,,,Larval Host (Butterfly); Hummingbirds,1,,,,,,
230,,,,,,,Native Bees; Honey Bees; Butterflies; Nesting and Structure (Bees),1,,,,,,
231,,,,,,,Native Bees; Bombus; Honey Bees; Moths; Butterflies,1,,,,,,
232,,,,,,,Native Bees; Moths; Larval Host (Moth); Hummingbirds,1,,,,,,
233,,,,,,,Native Bees; Bombus; Butterflies; Monarchs; Larval Host (Butterfly); Larval Host (Moth),1,,,,,,
234,,,,,,,Honey Bees; Larval Host (Butterfly); Larval Host (Moth),1,,,,,,
235,,,,,,,Native Bees; Honey Bees,1,,,,,,
236,,,,,,,Native Bees; Nesting and Structure (Bees),1,,,,,,
237,,,,,,,Butterflies; Larval Host (Butterfly); Larval Host (Moth); Hummingbirds,1,,,,,,
238,,,,,,,Butterflies; Nesting and Structure (Bees); Larval Host (Butterfly); Wind,1,,,,,,
239,,,,,,,Butterflies; Wind,1,,,,,,
240,,,,,,,Bombus; Hummingbirds,1,,,,,,
241,,,,,,,Native Bees; Bombus; Moths; Butterflies; Monarchs; Hummingbirds,1,,,,,,
242,,,,,,,Native Bees; Honey Bees; Butterflies; Larval Host (Butterfly),1,,,,,,
243,,,,,,,"Native Bees; Honey Bees; Beetles, Wasps, Flies; Moths; Larval Host (Butterfly); Larval Host (Moth)",1,,,,,,
