USDA,Scientific Name,Root,Web
ACMI2,Achillea millefolium,ErnstSeed.com,https://www.ernstseed.com/product/common-yarrow/
AGPA6,Agrimonia parviflora,ErnstSeed.com,https://www.ernstseed.com/product/small-flowered-agrimony-pa-ecotype/?anchor=2
AGHY,Agrostis hyemalis,ErnstSeed.com,https://www.ernstseed.com/product/winter-bentgrass-piedmont-nc-ecotype/?anchor=7
AGPE,Agrostis perennans,ErnstSeed.com,https://www.ernstseed.com/product/autumn-bentgrass-albany-pine-bush-ny-ecotype/?anchor=8
ALSU,Alisma subcordatum,ErnstSeed.com,https://www.ernstseed.com/product/mud-plantain/?anchor=11
ALCE2,Allium cernuum,ErnstSeed.com,https://www.ernstseed.com/product/nodding-onion-oh-ecotype/?anchor=13
AMFR,Amorpha fruticosa,ErnstSeed.com,https://www.ernstseed.com/product/river-locust-false-indigo/?anchor=19
AMHE,Amorpha herbacea,ErnstSeed.com,https://www.ernstseed.com/product/clusterspike-false-indigo-nc-ecotype/?anchor=20
AMCI,Amsonia ciliata,ErnstSeed.com,https://www.ernstseed.com/product/fringed-bluestar-sc-ecotype/?anchor=21
ANGE,Andropogon gerardii,ErnstSeed.com,https://www.ernstseed.com/product/big-bluestem-niagara/?anchor=22
ANTE2,Andropogon ternarius,ErnstSeed.com,https://www.ernstseed.com/product/splitbeard-bluestem-fl-ecotype/?anchor=30
ANVI2,Andropogon virginicus,ErnstSeed.com,https://www.ernstseed.com/product/broomsedge-mo-ecotype/?anchor=32
APCA,Apocynum cannabinum,ErnstSeed.com,https://www.ernstseed.com/product/indianhemp-pa-ecotype/?anchor=36
AQCA,Aquilegia canadensis,ErnstSeed.com,https://www.ernstseed.com/product/eastern-columbine/?anchor=37
ARME6,Aronia melanocarpa,ErnstSeed.com,https://www.ernstseed.com/product/black-chokeberry-oh-ecotype/?anchor=38
ASIN,Asclepias incarnata,ErnstSeed.com,https://www.ernstseed.com/product/swamp-milkweed-ia-ecotype/?anchor=40
ASSY,Asclepias syriaca,ErnstSeed.com,https://www.ernstseed.com/product/common-milkweed/?anchor=44
ASTU,Asclepias tuberosa,ErnstSeed.com,https://www.ernstseed.com/product/butterfly-milkweed/?anchor=46
ASCA11,Astragalus canadensis,ErnstSeed.com,https://www.ernstseed.com/product/canadian-milkvetch/?anchor=65
BAAL,Baptisia alba,ErnstSeed.com,https://www.ernstseed.com/product/white-wild-indigo/?anchor=68
BAAU,Baptisia australis,ErnstSeed.com,https://www.ernstseed.com/product/blue-false-indigo/?anchor=72
BIAR,Bidens aristosa,ErnstSeed.com,https://www.ernstseed.com/product/showy-tickseed-sunflower-bur-marigold-coastal-plain-nc-ecotype/?anchor=80
BICE,Bidens cernua,ErnstSeed.com,https://www.ernstseed.com/product/nodding-bur-marigold-pa-ecotype/?anchor=81
BIFR,Bidens frondosa,ErnstSeed.com,https://www.ernstseed.com/product/beggartick-pa-ecotype/?anchor=82
