Scientific Name,Root,URL,USDA Symbol
Penstemon digitalis,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p264/penstemon_digitalis.html,PEDI
Phlox divaricata,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p693/phlox_divaricata_blue_moon.html,PHDI5
Phlox glaberrima,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p319/phlox_glaberrima_morris_berd.html,PHGL4
Phlox maculata,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p595/phlox_maculata.html,PHMA4
Phlox paniculata,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p53/phlox_paniculata_david.html,PHPA9
Phlox stolonifera,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p435/phlox_stolonifera_blue_ridge.html,PHST3
Phlox subulata,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p598/phlox_subulata_drummonds_pink.html,PHSU3
Physostegia virginiana,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p444/physostegia_virginiana_crystal_peak_white.html,PHVI8
Polemonium reptans,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p536/polemonium_reptans.html,PORE2
Polystichum acrostichoides,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p20/polystichum_acrostichoides.html,POAC4
Pycnanthemum muticum,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p270/pycnanthemum_muticum.html,PYMU
Rudbeckia fulgida,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p111/rudbeckia_fulgida.html,RUFU2
Rudbeckia hirta,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p452/rudbeckia_hirta_denver_daisy.html,RUHI2
Rudbeckia laciniata,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p450/rudbeckia_laciniata.html,RULA3
Rudbeckia triloba,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p189/rudbeckia_triloba_prairie_glow.html,RUTR2
Schizachyrium scoparium,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p570/schizachyrium_scoparium_prairie_blues.html,SCSC
Sedum ternatum,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p137/sedum_ternatum.html,SETE3
Silene caroliniana,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p757/silene_caroliniana_short_and_sweet.html,SICA6
Solidago caesia,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p605/solidago_caesia.html,SOCA4
Solidago rugosa,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p458/solidago_rugosa_fireworks.html,SORU2
Solidago sphacelata,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p459/solidago_sphacelata_golden_fleece.html,SOSP4
Stokesia laevis,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p274/stokesia_laevis_blue_danube.html,STLA6
Thelypteris palustris,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p728/thelypteris_palustris.html,THPA
Tiarella cordifolia,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p280/tiarella_cordifolia.html,TICO
Veronicastrum virginicum,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p97/veronicastrum_virginicum_album.html,VEVI4
Viola walteri,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p535/viola_walteri_silver_gem.html,VIWA
Yucca filamentosa,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p613/yucca_filamentosa_color_guard.html,YUFI
Zizia aurea,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p470/zizia_aurea.html,ZIAU
