Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ALGR,,Alisma gramineum Lej.,narrowleaf water plantain
ALIN2,,Alnus incana (L.) Moench,gray alder
ALINR,,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,speckled alder
ALINT,,Alnus incana (L.) Moench ssp. tenuifolia (Nutt.) Breitung,thinleaf alder
ALJU,,Albizia julibrissin Durazz.,silktree
ALLA,,Alchornea latifolia Sw.,achiotillo
ALMA7,,Alnus maritima (Marshall) Muhl. ex Nutt.,seaside alder
ALMA8,,Alopecurus magellanicus Lam.,Alpine Meadow-Foxtail
ALMA8,ALAL2,Alopecurus alpinus Sm.,
ALMO,,Aleurites moluccanus (L.) Willd.,Indian walnut
ALMO,ALMO2,"Aleurites moluccana (L.) Willd., orth. var.",
ALMY,,Alopecurus myosuroides Huds.,slender meadow foxtail
ALPH,,Alternanthera philoxeroides (Mart.) Griseb.,alligatorweed
ALPL,,Alisma plantago-aquatica L.,European water plantain
ALPR3,,Alopecurus pratensis L.,meadow foxtail
ALRH2,,Alnus rhombifolia Nutt.,white alder
ALRU2,,Alnus rubra Bong.,red alder
ALSE2,,Alnus serrulata (Aiton) Willd.,hazel alder
ALSU,,Alisma subcordatum Raf.,American water plantain
ALTE,,Allium textile A. Nelson & J.F. Macbr.,textile onion
ALTO,,Allium tolmiei (Hook.) Baker ex S. Watson,Tolmie's onion
ALVA,,Allium validum S. Watson,Pacific onion
ALVIC,,Alnus viridis (Chaix) DC. ssp. crispa (Aiton) Turrill,mountain alder
ALVIS,,Alnus viridis (Chaix) DC. ssp. sinuata (Regel) Á. Löve & D. Löve,Sitka alder
AMAL2,,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,Saskatoon serviceberry
AMALS,,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem. var. semiintegrifolia (Hook.) C.L. Hitchc.,Saskatoon serviceberry
AMAR3,,Amelanchier arborea (Michx. f.) Fernald,common serviceberry
AMAR4,,Ammophila arenaria (L.) Link,European beachgrass
AMBR,,Ammophila breviligulata Fernald,American beachgrass
AMCA,,Amaranthus californicus (Moq.) S. Watson,California amaranth
AMCA4,,Amelanchier canadensis (L.) Medik.,Canadian serviceberry
AMCA6,,Amorpha canescens Pursh,leadplant
AMCO,,Ammannia coccinea Rottb.,valley redstem
